*{"timestamp": "08:33:05", "x": 105.99, "y": 264.39}
*{"timestamp": "08:50:11", "x": 117.76, "y": 266.94}
*{"timestamp": "09:06:51", "x": 128.29, "y": 266.9}
*{"timestamp": "09:21:06", "x": 137.16, "y": 266.36}
*{"timestamp": "09:30:55", "x": 143.68, "y": 264.96}
*{"timestamp": "09:39:08", "x": 149.09, "y": 263.72}
*{"timestamp": "09:53:07", "x": 158.58, "y": 261.07}
*{"timestamp": "09:57:17", "x": 161.42, "y": 260.67}
*{"timestamp": "10:03:30", "x": 165.63, "y": 258.95}
*{"timestamp": "10:10:11", "x": 170.16, "y": 257.18}
*{"timestamp": "10:17:18", "x": 175.01, "y": 255.53}
*{"timestamp": "10:26:12", "x": 181.19, "y": 252.86}
*{"timestamp": "10:31:23", "x": 184.63, "y": 251.29}
*{"timestamp": "10:40:50", "x": 191.0, "y": 248.2}
*{"timestamp": "10:52:13", "x": 199.2, "y": 244.02}
*{"timestamp": "10:59:00", "x": 203.88, "y": 241.33}
*{"timestamp": "11:06:13", "x": 208.68, "y": 238.24}
*{"timestamp": "11:16:33", "x": 215.67, "y": 233.94}
*{"timestamp": "11:24:33", "x": 221.03, "y": 230.74}
*{"timestamp": "11:46:01", "x": 235.5, "y": 220.28}
*{"timestamp": "11:59:18", "x": 244.17, "y": 214.04}
*{"timestamp": "12:13:28", "x": 253.19, "y": 206.54}
*{"timestamp": "12:26:04", "x": 261.21, "y": 200.01}
*{"timestamp": "12:34:55", "x": 266.73, "y": 162.62}
*{"timestamp": "12:41:58", "x": 270.79, "y": 158.3}
*{"timestamp": "12:48:21", "x": 274.61, "y": 154.84}
*{"timestamp": "12:57:28", "x": 280.09, "y": 149.94}
*{"timestamp": "13:09:46", "x": 287.04, "y": 143.36}
*{"timestamp": "13:18:22", "x": 291.81, "y": 138.05}
*{"timestamp": "13:34:34", "x": 300.57, "y": 128.63}
*{"timestamp": "13:49:05", "x": 307.73, "y": 120.36}
*{"timestamp": "14:10:20", "x": 317.03, "y": 107.46}
*{"timestamp": "14:18:55", "x": 320.7, "y": 102.51}
*{"timestamp": "14:31:41", "x": 325.57, "y": 94.67}
*{"timestamp": "14:41:36", "x": 328.94, "y": 88.86}
*{"timestamp": "14:48:44", "x": 331.2, "y": 84.49}
*{"timestamp": "14:58:34", "x": 334.3, "y": 78.84}
*{"timestamp": "15:07:20", "x": 336.53, "y": 73.88}
*{"timestamp": "15:15:08", "x": 338.28, "y": 69.2}
*{"timestamp": "15:29:50", "x": 340.7, "y": 60.58}
*{"timestamp": "15:45:49", "x": 342.84, "y": 51.78}
*{"timestamp": "15:57:08", "x": 344.14, "y": 45.55}
*{"timestamp": "16:06:11", "x": 344.2, "y": 40.37}
