*{"timestamp": "08:32:06", "x": 85.88, "y": 264.41}
*{"timestamp": "08:35:09", "x": 87.24, "y": 264.93}
*{"timestamp": "08:38:16", "x": 88.92, "y": 264.91}
*{"timestamp": "08:40:19", "x": 89.69, "y": 265.32}
*{"timestamp": "08:46:52", "x": 93.17, "y": 265.54}
*{"timestamp": "08:49:41", "x": 94.49, "y": 265.78}
*{"timestamp": "08:55:16", "x": 97.22, "y": 265.94}
*{"timestamp": "08:59:50", "x": 99.71, "y": 265.86}
*{"timestamp": "09:03:41", "x": 101.51, "y": 265.84}
*{"timestamp": "09:06:24", "x": 103.05, "y": 265.42}
*{"timestamp": "09:11:46", "x": 105.76, "y": 265.48}
*{"timestamp": "09:14:06", "x": 107.12, "y": 265.1}
*{"timestamp": "09:19:03", "x": 109.56, "y": 265.06}
*{"timestamp": "09:21:42", "x": 111.22, "y": 264.53}
*{"timestamp": "09:25:06", "x": 112.88, "y": 264.44}
*{"timestamp": "09:27:32", "x": 114.32, "y": 263.75}
*{"timestamp": "09:31:10", "x": 116.26, "y": 263.38}
*{"timestamp": "09:34:25", "x": 118.0, "y": 262.93}
*{"timestamp": "09:37:16", "x": 119.27, "y": 262.85}
*{"timestamp": "09:39:59", "x": 120.98, "y": 262.19}
*{"timestamp": "09:51:55", "x": 127.52, "y": 260.24}
*{"timestamp": "09:56:11", "x": 129.84, "y": 259.35}
*{"timestamp": "09:59:04", "x": 131.42, "y": 258.74}
*{"timestamp": "10:01:33", "x": 132.78, "y": 258.13}
*{"timestamp": "10:03:08", "x": 133.71, "y": 257.87}
*{"timestamp": "10:07:08", "x": 135.89, "y": 256.9}
*{"timestamp": "10:09:10", "x": 137.0, "y": 256.38}
*{"timestamp": "10:11:58", "x": 138.54, "y": 255.9}
*{"timestamp": "10:14:32", "x": 140.01, "y": 255.17}
*{"timestamp": "10:19:54", "x": 143.06, "y": 253.78}
*{"timestamp": "10:25:01", "x": 145.96, "y": 252.3}
*{"timestamp": "10:26:38", "x": 146.85, "y": 252.16}
*{"timestamp": "10:29:01", "x": 148.19, "y": 251.2}
*{"timestamp": "10:31:27", "x": 149.56, "y": 250.43}
*{"timestamp": "10:34:24", "x": 151.13, "y": 249.53}
*{"timestamp": "10:36:42", "x": 152.3, "y": 249.18}
*{"timestamp": "10:39:15", "x": 153.92, "y": 248.16}
*{"timestamp": "10:41:15", "x": 155.04, "y": 247.65}
*{"timestamp": "10:44:23", "x": 156.79, "y": 246.42}
*{"timestamp": "10:51:13", "x": 160.72, "y": 244.21}
*{"timestamp": "10:58:03", "x": 164.2, "y": 241.78}
*{"timestamp": "11:36:09", "x": 185.09, "y": 226.83}
*{"timestamp": "11:40:13", "x": 187.47, "y": 224.6}
*{"timestamp": "11:43:53", "x": 189.45, "y": 223.15}
