*{"timestamp": "10:15:53", "x": 186.75, "y": 386.62}
*{"timestamp": "10:21:16", "x": 189.2, "y": 385.48}
*{"timestamp": "11:13:56", "x": 4.25, "y": 7.59}
*{"timestamp": "11:24:40", "x": 27.58, "y": 18.95}
*{"timestamp": "11:24:56", "x": 27.96, "y": 18.88}
*{"timestamp": "11:28:06", "x": 29.48, "y": 17.42}
*{"timestamp": "11:35:28", "x": 33.58, "y": 14.83}
*{"timestamp": "11:36:12", "x": 33.96, "y": 14.08}
*{"timestamp": "11:40:55", "x": 36.38, "y": 11.5}
*{"timestamp": "11:48:09", "x": 4.13, "y": 0.0}
*{"timestamp": "11:50:43", "x": 5.36, "y": 0.0}
*{"timestamp": "11:51:52", "x": 5.84, "y": 0.0}
*{"timestamp": "11:53:14", "x": 6.64, "y": 0.0}
*{"timestamp": "11:55:25", "x": 7.75, "y": 0.0}
*{"timestamp": "11:56:12", "x": 8.19, "y": 0.0}
