*{"timestamp": "08:26:57", "x": 104.82, "y": 271.08}
*{"timestamp": "08:35:47", "x": 109.93, "y": 271.94}
*{"timestamp": "08:42:50", "x": 114.09, "y": 272.7}
*{"timestamp": "08:49:21", "x": 118.0, "y": 272.99}
*{"timestamp": "08:56:12", "x": 122.1, "y": 273.24}
*{"timestamp": "09:02:54", "x": 126.32, "y": 273.57}
*{"timestamp": "09:10:45", "x": 131.03, "y": 273.02}
*{"timestamp": "09:19:46", "x": 136.94, "y": 272.42}
*{"timestamp": "09:27:10", "x": 142.06, "y": 271.69}
*{"timestamp": "09:32:56", "x": 145.58, "y": 270.83}
*{"timestamp": "09:38:53", "x": 149.56, "y": 269.88}
*{"timestamp": "09:44:54", "x": 153.57, "y": 268.79}
*{"timestamp": "09:50:45", "x": 157.82, "y": 268.03}
*{"timestamp": "09:57:29", "x": 162.41, "y": 266.45}
*{"timestamp": "10:09:05", "x": 170.47, "y": 263.5}
*{"timestamp": "10:15:18", "x": 174.78, "y": 261.72}
*{"timestamp": "10:20:17", "x": 178.15, "y": 260.33}
*{"timestamp": "10:26:52", "x": 182.71, "y": 258.51}
*{"timestamp": "10:33:07", "x": 186.6, "y": 256.22}
*{"timestamp": "10:39:24", "x": 191.28, "y": 254.39}
*{"timestamp": "10:46:06", "x": 195.9, "y": 251.99}
*{"timestamp": "10:50:47", "x": 198.86, "y": 250.18}
*{"timestamp": "10:55:17", "x": 203.8, "y": 247.63}
*{"timestamp": "10:55:22", "x": 203.8, "y": 247.63}
*{"timestamp": "10:55:59", "x": 202.29, "y": 248.32}
*{"timestamp": "11:01:47", "x": 206.34, "y": 246.13}
*{"timestamp": "11:08:13", "x": 210.85, "y": 243.39}
*{"timestamp": "11:14:22", "x": 215.21, "y": 240.8}
*{"timestamp": "11:19:10", "x": 218.51, "y": 238.78}
*{"timestamp": "11:24:19", "x": 221.8, "y": 236.32}
*{"timestamp": "11:43:14", "x": 234.65, "y": 227.53}
*{"timestamp": "11:50:55", "x": 239.76, "y": 223.71}
*{"timestamp": "11:52:37", "x": 240.82, "y": 222.8}
*{"timestamp": "11:58:41", "x": 244.69, "y": 219.86}
*{"timestamp": "12:19:43", "x": 258.38, "y": 208.95}
*{"timestamp": "12:25:28", "x": 261.87, "y": 206.2}
*{"timestamp": "12:30:17", "x": 264.84, "y": 203.32}
*{"timestamp": "12:35:36", "x": 268.11, "y": 200.57}
*{"timestamp": "12:41:07", "x": 271.41, "y": 197.49}
*{"timestamp": "12:47:22", "x": 275.23, "y": 194.01}
*{"timestamp": "12:54:26", "x": 279.09, "y": 189.92}
*{"timestamp": "13:02:55", "x": 284.41, "y": 185.44}
*{"timestamp": "13:09:17", "x": 287.69, "y": 181.29}
*{"timestamp": "13:22:14", "x": 295.03, "y": 174.41}
*{"timestamp": "13:27:36", "x": 297.74, "y": 171.06}
*{"timestamp": "13:40:33", "x": 304.3, "y": 163.55}
*{"timestamp": "13:48:04", "x": 308.18, "y": 158.93}
*{"timestamp": "13:54:14", "x": 310.88, "y": 155.26}
*{"timestamp": "13:59:29", "x": 313.34, "y": 152.44}
*{"timestamp": "14:05:50", "x": 316.01, "y": 148.34}
*{"timestamp": "14:11:30", "x": 318.52, "y": 145.16}
*{"timestamp": "14:18:33", "x": 321.43, "y": 140.99}
*{"timestamp": "14:24:13", "x": 323.96, "y": 137.66}
*{"timestamp": "14:30:31", "x": 326.29, "y": 133.76}
*{"timestamp": "14:38:07", "x": 328.92, "y": 129.33}
*{"timestamp": "14:44:16", "x": 330.77, "y": 125.74}
*{"timestamp": "14:49:49", "x": 332.73, "y": 122.45}
*{"timestamp": "14:55:31", "x": 334.23, "y": 118.96}
*{"timestamp": "15:01:37", "x": 335.94, "y": 115.4}
*{"timestamp": "15:06:45", "x": 337.61, "y": 112.5}
*{"timestamp": "15:11:33", "x": 338.88, "y": 109.92}
*{"timestamp": "15:17:29", "x": 340.07, "y": 106.22}
*{"timestamp": "15:24:00", "x": 341.27, "y": 102.27}
*{"timestamp": "15:29:43", "x": 342.35, "y": 98.79}
*{"timestamp": "15:35:18", "x": 343.25, "y": 95.71}
*{"timestamp": "15:39:52", "x": 343.87, "y": 92.96}
*{"timestamp": "15:45:03", "x": 344.21, "y": 89.95}
*{"timestamp": "15:50:14", "x": 344.89, "y": 87.18}
*{"timestamp": "15:55:04", "x": 391.43, "y": 84.27}
*{"timestamp": "16:03:02", "x": 391.68, "y": 79.61}
*{"timestamp": "16:08:14", "x": 391.75, "y": 77.08}
